species,lon,lat
Heracleum sosnowskyi,36.9817602505351,55.9742728232322
Heracleum sosnowskyi,36.28887547122599,55.568849532579904
Heracleum sosnowskyi,36.08479693912751,56.0995821708805
Heracleum sosnowskyi,36.5045439208653,56.3559316682119
Heracleum sosnowskyi,36.4977376861453,55.60699757048149
Heracleum sosnowskyi,36.596592597170606,56.47927521567869
Heracleum sosnowskyi,36.59592546209039,55.9349729948079
Heracleum sosnowskyi,35.2737436918179,56.017001550781
Heracleum sosnowskyi,36.3406632981727,55.582318426154394
Heracleum sosnowskyi,35.7527244742551,56.0720633020797
Heracleum sosnowskyi,36.678324704221694,56.302720835897894
Heracleum sosnowskyi,35.61220309329809,55.69555928563249
Heracleum sosnowskyi,36.3198280846984,55.90404075367789
Heracleum sosnowskyi,36.7174296882295,56.3054754656203
Heracleum sosnowskyi,37.009695885856495,56.3941621451669
Heracleum sosnowskyi,36.4422810686164,55.62797803615751
Heracleum sosnowskyi,35.96101135239199,56.1162836020066
Heracleum sosnowskyi,36.0748889345767,55.80068879535159
Heracleum sosnowskyi,36.38125835988539,55.880684451826
Heracleum sosnowskyi,36.2413517177076,55.768410647733205
Heracleum sosnowskyi,36.543784788836994,55.87281338922649
Heracleum sosnowskyi,35.9950201526579,56.025562237807
Heracleum sosnowskyi,36.3556487400973,55.87080428848711
Heracleum sosnowskyi,36.3362497304407,55.99139656429999
Heracleum sosnowskyi,35.45468778211549,55.97323887537381
Heracleum sosnowskyi,36.4190931729116,55.9554746902048
Heracleum sosnowskyi,35.4413488117982,55.9410398968738
Heracleum sosnowskyi,36.3512600314253,55.8764164717428
Heracleum sosnowskyi,35.7679061122773,55.59175020280961
Heracleum sosnowskyi,35.286031128933494,56.01332805044921
Heracleum sosnowskyi,36.0322738129861,55.714196234968306
Heracleum sosnowskyi,36.2276339385554,55.9672104283186
Heracleum sosnowskyi,35.37221897652459,56.1597357585984
Heracleum sosnowskyi,36.81557512319339,56.2942938573756
Heracleum sosnowskyi,36.37017735430149,55.9420953951864
Heracleum sosnowskyi,36.93659852859919,56.3297544898778
Heracleum sosnowskyi,36.7524257795261,56.45983119225569
Heracleum sosnowskyi,36.4696734117985,55.89215767873389
Heracleum sosnowskyi,35.81593792969169,55.68284709152011
Heracleum sosnowskyi,36.322706333430496,55.863286668445
Heracleum sosnowskyi,36.98750029220479,55.8221926781496
Heracleum sosnowskyi,36.947626971507496,56.369784752164584
Heracleum sosnowskyi,36.8729079747233,56.54411035650781
Heracleum sosnowskyi,35.7578717925492,55.3742140780173
Heracleum sosnowskyi,36.2464713090037,55.934957277356496
Heracleum sosnowskyi,36.1303295936359,55.5084178259219
Heracleum sosnowskyi,36.8124131077787,56.2689508685877
Heracleum sosnowskyi,36.0929210736486,56.09575502317579
Heracleum sosnowskyi,36.4709519698575,56.0125453731704
Heracleum sosnowskyi,36.4121926379798,55.8842582551144
Heracleum sosnowskyi,36.88990403004689,56.44912052299371
Heracleum sosnowskyi,36.11559691516549,55.8574453325361
Heracleum sosnowskyi,36.949626337085796,55.91998819769709
Heracleum sosnowskyi,36.6310661481842,56.210950690421996
Heracleum sosnowskyi,36.06231662101529,55.8175351666146
Heracleum sosnowskyi,36.38249840897439,55.96891608341049
Heracleum sosnowskyi,35.55362901186939,55.5593493121211
Heracleum sosnowskyi,35.61718029223669,55.7016568464863
Heracleum sosnowskyi,36.9146249379905,55.985847226568204
Heracleum sosnowskyi,36.49785186946821,55.9996982483755
Heracleum sosnowskyi,36.7774696735866,55.9016452430336
Heracleum sosnowskyi,36.1115515586575,55.8322813672913
Heracleum sosnowskyi,36.3737977307807,56.110200347568004
Heracleum sosnowskyi,36.9354190506487,56.349534239213796
Heracleum sosnowskyi,35.4818230900635,55.977303869477986
Heracleum sosnowskyi,35.9206891467867,55.8578668043096
Heracleum sosnowskyi,36.415538855234,55.9700104738043
Heracleum sosnowskyi,35.6984739725958,56.0808135284216
Heracleum sosnowskyi,35.8743711026443,55.307643968694194
Heracleum sosnowskyi,36.0031152183926,55.695749618150295
Heracleum sosnowskyi,35.6692521997292,55.4422467457907
Heracleum sosnowskyi,36.2920993312192,55.90379102363679
Heracleum sosnowskyi,37.0367082223066,55.862399569084886
Heracleum sosnowskyi,36.9498340283178,56.489902516887604
Heracleum sosnowskyi,36.4793569041978,55.8406174989984
Heracleum sosnowskyi,35.8210626471235,55.9376476721024
Heracleum sosnowskyi,36.5155539654431,56.029171050803384
Heracleum sosnowskyi,36.6781965930983,56.3236605892648
Heracleum sosnowskyi,36.3373098800469,55.8341777389115
Heracleum sosnowskyi,36.1590416514511,55.7808262589247
Heracleum sosnowskyi,36.9858697619799,55.96395692037561
Heracleum sosnowskyi,35.6797929187083,56.00886349115719
Heracleum sosnowskyi,36.7727635411046,56.25942352457601
Heracleum sosnowskyi,35.9922961250661,55.374966573148804
Heracleum sosnowskyi,36.362121868629394,55.7210745629407
